tempo_s,erro_posicao_m,erro_orientacao_deg
269.89,5.872977735927899,1.3418413838590597
269.9,5.87789664397286,1.3418466161787108
269.91,5.8828157078325995,1.3418520138744674
269.92,5.887734922992923,1.3418579167773346
269.93,5.892654284057167,1.3418647131148433
269.94,5.897573786080965,1.341872782080407
269.95,5.90249342381008,1.3418824924862165
269.96,5.907413194350062,1.3418951869289866
269.96,5.912332909037749,1.341940338946552
269.98,5.917253142833637,1.3419273227721398
269.99,5.922177396906,1.3424969079472286
270.0,5.9270994627324125,1.342018164154103
270.01,5.932021327136475,1.3417392899433298
270.02,5.936940330786731,1.3413205893392823
270.03,5.941859173382848,1.341369441158989
270.04,5.946779061746988,1.3415039882373405
270.05,5.951699199163108,1.3415746329480482
270.06,5.9566188820286925,1.341690943698241
270.07,5.96153791529982,1.3418723263549952
270.08,5.966458588082751,1.342394522256668
270.09,5.971379202987428,1.3428320724220713
270.1,5.976299270128657,1.3431644813851702
270.11,5.981218844442174,1.343456306176905
270.12,5.986138043624156,1.3437056635829034
270.13,5.991057116590511,1.3438983682358894
270.14,5.995976550752189,1.3439735783974973
270.15,6.000896001254498,1.3439239939150742
270.16,6.005816591520703,1.3439150286764816
270.17,6.010737039894136,1.3437046934611734
270.18,6.015658784273181,1.3435531181018603
270.19,6.020580543374099,1.343373373425729
270.2,6.025502318273662,1.3432407353920166
270.2,6.030424132561727,1.343221218955418
270.22,6.035345701835614,1.3431865510100325
270.23,6.040267154906549,1.343157106358469
270.24,6.045188617708877,1.3431516470971163
270.25,5.61380814235416,0.9602232394266332
270.26,5.6187187263763185,0.9602468141953742
270.27,5.623629721485721,0.9603828745596561
270.28,5.6285405995359765,0.9603879099466417
270.29,5.633451522876419,0.9603586180598455
270.3,5.638362425964784,0.9602921294831966
270.3,5.643268897560621,0.9603876860971963
270.31,5.648180568194652,0.9614483225589916
270.33,5.6530904310101615,0.9615394472160587
270.33,5.658001027503719,0.9614378020538917
270.35,5.662912261930451,0.9613212177286857
270.36,5.667822702783721,0.9612416610791398
270.37,5.672734340562043,0.9613710597205329
270.38,5.677649720231525,0.9608680019790026
270.38,5.682562009240724,0.9612724677351976
270.4,5.6874739788469055,0.9613131546611936
270.41,5.692386639725512,0.9612832691951899
270.41,5.697299556040872,0.9611854863270595
270.43,5.70221028639219,0.9608039884392426
270.43,5.707118160977411,0.9613685265431935
270.45,5.712032349611814,0.9619408817578965
270.45,5.716951639881903,0.9619698607749029
270.47,5.721866205501333,0.9617721269092879
270.48,5.726779794899054,0.9615411603359502
270.49,5.731693265959844,0.9613603381763789
270.5,5.73660554531496,0.9612195909376665
270.5,5.741518958304197,0.961173645543442
270.52,5.74643387396349,0.9600839365153132
270.52,5.7513261717082385,0.9637149164290576
270.54,5.756228454359139,0.9629697660512804
270.55,5.761133937663803,0.9628724683286544
270.56,5.7660421255715,0.9617256114927488
270.56,5.7709620668870505,0.9631914661535226
270.58,5.77582774102677,0.9584983389738585
270.58,5.780738189796721,0.9582949698096712
270.59,5.785651402810017,0.9599236713877135
270.61,5.7905649354624895,0.9596502102562194
270.62,5.795476754914118,0.9591271797179831
270.62,5.800397042712271,0.9589798112807835
270.64,5.805309264602935,0.9582384025756324
270.65,5.8102240730711685,0.9581038909225883
270.66,5.815138776258243,0.9582460887872535
270.67,5.820038786937653,0.9573093896988198
270.68,5.824957201264155,0.9601779359101487
270.69,5.829849253992109,0.9523979672678958
270.7,5.834715141703919,0.9406948306350073
270.71,5.839588665586588,0.9374800761523128
270.72,5.844495168504464,0.9364290075648164
270.73,5.849402781008087,0.9366309873934305
270.74,5.854311152263179,0.9373787214932034
270.75,5.8592201377266555,0.9383528689304551
270.76,5.864137953747356,0.9398035167399632
270.77,5.869061353734721,0.9409176700869624
270.78,5.8739872032316,0.9416456418413406
270.78,5.878908923669498,0.9415458262434434
270.8,5.883828704231381,0.9417191881395662
270.81,5.888747981186524,0.9419661097103957
270.82,5.893662919900789,0.9427672187375736
270.83,5.898580913246274,0.9432622032244417
270.84,5.9035003046288965,0.9435748910819335
270.85,5.90842068435184,0.9437595054504923
270.86,5.913341565096241,0.9438755745497863
270.87,5.918262686425368,0.9439742431846257
270.88,5.9231839722323905,0.9440702002031516
270.89,5.928105408530258,0.9441660301954855
270.9,5.933026994623068,0.9442614878926061
270.91,5.937948729941851,0.9443560545901147
270.91,5.942870612416769,0.9444494497315818
270.93,5.947792638863068,0.9445416446246797
270.94,5.952714805215293,0.9446328058853576
270.95,5.957637106528113,0.9447232532388684
270.95,5.9625595369187065,0.9448134341162908
270.97,5.967482089531644,0.9449039076979596
270.98,5.972404756481589,0.9449953657306893
270.99,5.977327526935029,0.945088578152515
271.0,5.982250360104123,0.9451844619918528
271.01,5.9871731962543855,0.945284421441162
271.01,5.992096213253456,0.9453557176290166
271.03,5.99701970058354,0.945409551695262
271.04,6.001940341716668,0.946097266982529
271.04,6.006862273531936,0.9466232573967854
271.06,6.011784841666858,0.9469115402670781
271.07,6.016707182181942,0.9472002747099483
271.08,6.021629814335002,0.9474326781858642
271.09,6.026553185919708,0.9475797318806427
271.1,6.031477295393177,0.947682589006046
271.11,6.0363994836415555,0.9482899274135674
271.11,6.04132237679914,0.9487931068842096
271.13,5.612208519217532,0.7984902365257088
271.14,5.617124249863445,0.7995874973539774
271.15,5.622038502547105,0.799729410127671
271.16,5.626952074687615,0.8014799182122535
271.17,5.631947626955507,0.8133297721978596
271.18,5.636939576425057,0.8253415141657371
271.19,5.641910055559618,0.83106082467031
271.2,5.646879302174453,0.8351379284096937
271.21,5.651841646314102,0.8367253116346761
271.22,5.656795490526679,0.8371772828983643
271.23,5.661740557123566,0.8369878969562976
271.24,5.666677539335662,0.8362211113184934
271.25,5.671612978057715,0.8363615454035608
271.26,5.676529923811009,0.8360454154874664
271.27,5.681433815415529,0.8346206956694634
271.28,5.686327927720275,0.832129562619238
271.29,5.691215282035113,0.8286672461167428
271.3,5.6960984345209225,0.8243242995257298
271.31,5.700996945089683,0.8246003383078364
271.32,5.705896129768189,0.8247809583431577
271.33,5.710795603130967,0.824621597725088
271.33,5.715696005284228,0.8241739230587946
271.35,5.720605673752529,0.8266104825721793
271.36,5.725510893343939,0.8266257385325514
271.37,5.730421050807751,0.8269014418276732
271.37,5.735334609705077,0.8269306824946834
271.39,5.740249590385615,0.8267601643962778
271.4,5.745165723331831,0.8267371766197105
271.41,5.750076123137407,0.8259672459936725
271.42,5.754987555048888,0.8276034474954462
271.43,5.7599004188644045,0.8289827003039894
271.44,5.764814987494878,0.8287447013108994
271.45,5.769733340114323,0.8280169006089974
271.46,5.774624048846218,0.8335708489035966
271.47,5.779528923202905,0.8316219423406472
271.48,5.7844396111010905,0.8324938256103721
271.49,5.789357409546303,0.8335240142606745
271.5,5.794278945845902,0.8352875092708274
271.51,5.799201016851879,0.835800160429507
271.52,5.804126410477757,0.8359800743737567
271.53,5.809052775865302,0.8359182116316782
271.54,5.813979123938969,0.835733517266562
271.55,5.818905043104946,0.8354841912584745
271.56,5.823830334428419,0.8351935382506362
271.57,5.828754774559116,0.834852210561653
271.58,5.833678052881597,0.8344135180939578
271.59,5.838599674285711,0.8338835509205362
271.6,5.843519571473333,0.8333975030438686
271.61,5.848437186066524,0.8329135587349304
271.62,5.853352349125049,0.8323291915870378
271.62,5.858265143849464,0.831690733975881
271.64,5.863175837298056,0.8310624099584799
271.65,5.868084952500099,0.830493811052406
271.66,5.8729932471016895,0.8300382978693368
271.67,5.877901678614397,0.8297481025639463
271.67,5.882811255116794,0.8296567589850194
271.69,5.887722872542245,0.8297701433993021
271.7,5.892637144730647,0.8300572336065877
271.71,5.897554312533729,0.8304597093896102
271.72,5.902474240315292,0.8309060251721632
271.72,5.907396463636535,0.8312839270764968
271.74,5.9123205362728015,0.8315904866532096
271.75,5.9172460087490055,0.8318403711236885
271.76,5.922172459865859,0.8320450528587772
271.77,5.927093200028541,0.8316036941413797
271.78,5.932013123577823,0.8313641483638478
271.79,5.93678790091174,0.8034178735238231
271.8,5.941301720317721,0.7261688007750899
271.81,5.945492266020155,0.594140633229981
271.82,5.949569855016618,0.43708801061298697
271.83,5.953282794361808,0.21417472999838172
271.83,5.9566060543231,0.06308570910656197
271.85,5.95960822725886,0.3878609970705349
271.86,5.962309215972911,0.7629544918286656
271.87,5.964687199452006,1.1926802632768718
271.88,5.966716007192211,1.6782214275545473
271.89,5.968397077754847,2.21596783244886
271.9,5.969774894597184,2.810440126053537
271.9,5.970827722174862,3.459301761081117
271.92,5.9715721050831325,4.158631574783146
271.93,5.972006930069041,4.908520476249977
271.94,5.972171052012668,5.71074078391513
271.95,5.972127306657116,6.559769971836019
271.95,5.971934744100991,7.435577294718259
271.97,5.9716501218317,8.32469444661128
271.98,5.971348031305999,9.223514312302846
271.99,5.971068910807577,10.131921646900787
272.0,5.9708343468225635,11.054957775272097
272.01,5.9706317248449,11.987712822555554
272.02,5.970468945343006,12.926822753883789
272.03,5.5987840876446855,1.966344402364595
272.04,5.599037641312969,2.7688471031563817
272.05,5.5993970616530335,3.55383618661143
272.06,5.5997495131246415,4.320789008782092
272.07,5.600082305609528,5.074726704152409
272.07,5.600445057001314,5.827791524619963
272.09,5.600838433008105,6.570201044554455
272.1,5.601185827831901,7.287669746584449
272.11,5.6016961446564695,7.961097592091112
272.12,5.602213383121129,8.622645418150913
272.13,5.602733795039734,9.273278231496876
272.14,5.603261478201755,9.920510494090365
272.15,5.603783365119858,10.543439716751232
272.15,5.604385681053992,11.137766738258676
272.17,5.60495798505984,11.732657355077963
272.17,5.605663556729997,12.263008231865749
272.19,5.6062699816873875,12.815435091277582
272.2,5.606895376065837,13.347479126982458
272.21,5.6075397609126,13.861549734291545
272.22,5.608220481441718,14.357716101136702
272.23,5.608936640305618,14.835721524342047
272.24,5.609634828922736,15.295817224277267
272.25,5.610315595010071,15.737211328643895
272.26,5.6110051278971245,16.162375899077876
272.27,5.611722090118502,16.572113948135758
272.28,5.612465957842594,16.966363445496835
272.28,5.613233746867401,17.34803633153335
272.3,5.614021118299673,17.71816444340223
272.31,5.614727015947523,18.072395914471784
272.32,5.615415766144311,18.408164226349566
272.33,5.61610721321481,18.734600445670182
272.34,5.6167650538006955,19.092212938104485
272.35,5.617047221777823,19.438642374765635
272.36,5.617295228366654,19.80026707741233
272.37,5.617434931069033,20.171394358569597
272.37,5.617483965739721,20.552045038356873
272.39,5.617387797177186,20.958540313994394
272.4,5.6171747513071315,21.384986197891276
272.41,5.616829235384158,21.833587172112583
272.42,5.616378968374172,22.28232621351479
272.43,5.616141630869787,22.696174477445027
272.44,5.615960890214732,23.09277664040625
272.45,5.615914098996924,23.457135338874537
272.46,5.615804537077612,23.801459060682426
272.47,5.607989828603912,0.3077501953411599
272.48,5.608044148236189,0.5770182822638641
272.48,5.607860964730735,0.8988891326909768
272.5,5.60774286891445,1.2509070374706717
272.51,5.607710670704126,1.636119585026569
272.52,5.607586316257759,1.9820738887978457
272.53,5.607357487932146,2.2907512266226533
272.54,5.607040299667395,2.569216021945303
272.55,5.606665358986877,2.830889684796303
272.55,5.606282608056593,3.0936879679157108
272.57,5.606306665256817,3.371411829756999
272.58,5.606389040443254,3.671225579054505
272.59,5.606582193934338,4.012404315166386
272.6,5.606800423890562,4.36965638547657
272.61,5.606960715961352,4.741293546833742
272.61,5.607158519035071,5.110133667729891
272.63,5.607301953153289,5.494029637413823
272.64,5.607247384557449,5.879347700125023
272.65,5.607202067544147,6.254402203906615
272.66,5.607157899745943,6.624935244264086
272.66,5.607105750698097,6.995541812105287
272.68,5.607364412478137,7.381899853045327
272.69,5.60758486182019,7.769422639626866
272.7,5.607761074981856,8.157908341401285
272.71,5.607965183189063,8.553141642491159
272.71,5.608259100355154,8.946859652591808
272.73,5.608460414742021,9.351783435019723
272.74,5.608679173073365,9.755541810271959
272.75,5.608927837818051,10.16479390724723
272.76,5.609210956082213,10.57968089809251
272.76,5.609526997847629,11.000577625075296
272.78,5.609877713336284,11.427794292972667
272.79,5.610263237344097,11.861608853655149
272.8,5.610684427283895,12.302345527274833
272.81,5.611141869801429,12.750304094035657
272.81,5.611636258708611,13.205808629786295
272.83,5.61216830388572,13.669185384581208
272.84,5.612738755988182,14.140773517905394
272.85,5.613348404245434,14.620925043282133
272.86,5.613998109705144,15.11000343844767
272.86,5.61468880961455,15.608387057829638
272.87,5.6154215156050675,16.11647083862637
272.89,5.61619730770501,16.634671532500096
272.89,5.617017362212005,17.1634276911059
272.91,5.617882983836955,17.703201241915284
272.92,5.618795588306625,18.25448705808243
272.93,5.619756722563864,18.817817632250957
272.94,5.620768107580156,19.393770286627873
272.95,5.621831669164181,19.98298005618051
272.96,5.622949600219495,20.586156287290084
272.97,5.624124471230996,21.204108891372282
272.98,5.625359405508813,21.837772689122396
272.99,5.626658399734934,22.488268844198824
273.0,5.628025054441994,23.157078027905126
273.01,5.629466708083603,23.84664135304235
273.02,5.630984790588648,24.55757840510901
273.02,5.625440207244531,1.2387348492653305
273.03,5.6269373751587874,1.9591142159595618
273.05,5.628503178508877,2.6771965802898534
273.06,5.630114834462873,3.3939944182732926
273.07,5.63175034745912,4.1139299183547715
273.08,5.633348861732564,4.836370964746153
273.09,5.634978349201357,5.563093921797138
273.09,5.63654812271706,6.296918661426794
273.11,5.638202744181824,7.028187593346141
273.12,5.639726943429972,7.768574186771252
273.13,5.641164331369434,8.511675345097053
273.13,5.642496826763398,9.258269775754217
273.15,5.643708583448247,10.00143534682169
273.16,5.6447917637324565,10.738737922382128
273.17,5.645759991268175,11.473709187257672
273.18,5.646615648084814,12.2061083095909
273.19,5.64735917298203,12.935249221941538
273.2,5.6479906201622,13.660551256207425
273.21,5.648509939509081,14.381601494999538
273.22,5.648917015062959,15.098133569256516
273.22,5.649659661962613,15.836660594822241
273.24,5.650596885734985,16.566446929063794
273.24,5.651717311101396,17.3125834502616
273.26,5.653078211545733,18.10458316247156
273.26,5.654662224099331,18.88383274643659
273.28,5.656210384065297,19.655799958336587
273.29,5.657790082213274,20.420380707889137
273.3,5.659447830846285,21.17756132450251
273.31,5.661155117519549,21.92813988197236
273.32,5.662896068274018,22.672902064675384
273.33,5.664324737393945,23.365829917610895
273.33,5.665450780240095,24.02798469005714
273.35,5.666731648295974,0.9520009597018156
273.35,5.66707954748889,1.5547243785938611
273.37,5.6672133212235,2.106418836438776
273.38,5.667158830344909,2.615914532945743
273.39,5.666920311020249,3.0968934446595364
273.39,5.666514784843073,3.569359246166031
273.4,5.665943881820854,4.055866718428822
273.41,5.6653064507072575,4.542613771525557
273.43,5.664587661829487,5.019320520574694
273.44,5.663802509078673,5.488232375466104
273.45,5.662975742485061,5.9510933322114
273.46,5.662127712788729,6.409914441284303
273.47,5.661280980915938,6.866649959971972
273.48,5.660456987749699,7.323282755561746
273.49,5.659675679798726,7.781773808126084
273.5,5.65899897621151,8.263268908294922
273.51,5.658308253234201,8.744547747538494
273.52,5.657557835212355,9.206499256617722
273.53,5.656754907687428,9.650981257447476
273.54,5.655918416464688,10.083205558508872
273.55,5.6555374281900335,10.462651605500957
273.56,5.655016793990539,10.860732518753588
273.57,5.654442106033539,11.278674058376367
273.58,5.653989049064735,11.697741455843518
273.59,5.6536334763497065,12.128895171504583
273.6,5.653275114698069,12.58619430165955
273.61,5.653034531136749,13.048737542738497
273.62,5.652865741092965,13.520021604749527
273.63,5.652709937927344,14.012156312220087
273.64,5.652623034303452,14.501240981180999
273.64,5.652383531374603,14.991413125039816
273.66,5.6522310568354515,15.482964544368976
273.67,5.6520219019404925,15.977843615832223
273.68,5.651874221966731,16.49280436354296
273.69,5.6518433060884234,16.998282267153144
273.7,5.6520173937946225,17.496217179603793
273.71,5.652263183091882,18.005052662294002
273.72,5.652489151891572,18.514882235078904
273.73,5.652742331857278,19.026746879434153
273.74,5.653058094777532,19.54592600966828
273.75,5.6534337533551655,20.07441102018628
273.75,5.653869543726022,20.613003752202232
273.76,5.654367757232651,21.162102751276326
273.78,5.654962460193643,21.722469597769134
273.79,5.655623905950554,22.294459892029572
273.8,5.656362133858889,22.87873741393486
273.81,5.657181905179881,23.475846853765887
273.82,5.65808836275722,24.086373838594476
273.83,5.6564016300203095,0.5646557633287218
273.84,5.657499736840458,1.2038369580000714
273.85,5.658664924981153,1.853434769041586
273.86,5.6598988956406036,2.5136186637085096
273.87,5.661200194143623,3.1842674982092176
273.88,5.6625741240176,3.8661530840847753
273.89,5.664023836840421,4.559707678605114
273.9,5.665553214472685,5.265454290346621
273.91,5.66716688624757,5.983966501661885
273.92,5.668870067294135,6.715850284796552
273.92,5.670668815233503,7.461765097635396
273.94,5.672570189664932,8.22242866383403
273.94,5.674582564210439,8.998632927361692
273.96,5.676715705753124,9.791235260116142
273.97,5.6789808943030575,10.601139007394053
273.98,5.681393068371575,11.429356292293814
273.98,5.683969309464148,12.276028269549993
273.99,5.6865613682694125,13.11845441200752
274.01,5.689075962041054,13.964134293766394
274.01,5.691716453152799,14.802700911087303
274.03,5.69443383294431,15.656518726134415
274.03,5.697043835326128,16.50854172347456
274.05,5.699680189192027,17.366480979147358
274.06,5.702249750289168,18.228483988709534
274.07,5.704817492027937,19.09912257910702
274.08,5.707461315116807,19.965235522327525
274.08,5.710102863559945,20.83241847348169
274.1,5.712742743899741,21.706887509153937
274.1,5.715043355172673,22.539501847041947
274.12,5.7179011792102825,23.38930152883017
274.13,5.720800310683108,24.22876082601677
274.14,5.723186230946287,25.04700520704745
274.15,5.725910582684592,0.9575348002618428
274.16,5.728418840238461,1.798855982561116
274.17,5.730714252638822,2.641684568672064
274.18,5.732836572449535,3.481190171739684
274.19,5.734814398930595,4.317849180717061
274.19,5.73679685492609,5.152819156181226
274.21,5.7387924742552645,5.98393755879499
274.22,5.740995020985052,6.833270386499032
274.23,5.7432002847854475,7.678489317467942
274.24,5.745346813177358,8.519118486461286
274.25,5.747404345034956,9.355039713314861
